2024-12-14 20:43:42,133 [INFO] [drawCell] drew cell at Row=6, Col=1, Color=blue.
2024-12-14 20:43:42,133 [INFO] [drawCell] drew cell at Row=6, Col=2, Color=blue.
2024-12-14 20:43:42,134 [INFO] [drawCell] drew cell at Row=6, Col=3, Color=blue.
2024-12-14 20:43:42,134 [INFO] [drawCell] drew cell at Row=6, Col=4, Color=blue.
2024-12-14 20:43:42,134 [INFO] [drawCell] drew cell at Row=6, Col=5, Color=blue.
2024-12-14 20:43:42,135 [INFO] [drawCell] drew cell at Row=6, Col=6, Color=blue.
2024-12-14 20:43:42,135 [INFO] [drawCell] drew cell at Row=6, Col=7, Color=blue.
2024-12-14 20:43:42,135 [INFO] [drawCell] drew cell at Row=6, Col=8, Color=blue.
2024-12-14 20:43:42,136 [INFO] [drawCell] drew cell at Row=6, Col=9, Color=blue.
2024-12-14 20:43:42,137 [INFO] [drawCell] drew cell at Row=7, Col=0, Color=blue.
2024-12-14 20:43:42,137 [INFO] [drawCell] drew cell at Row=7, Col=1, Color=blue.
2024-12-14 20:43:42,138 [INFO] [drawCell] drew cell at Row=7, Col=2, Color=blue.
2024-12-14 20:43:42,138 [INFO] [drawCell] drew cell at Row=7, Col=3, Color=blue.
2024-12-14 20:43:42,139 [INFO] [drawCell] drew cell at Row=7, Col=4, Color=blue.
2024-12-14 20:43:42,140 [INFO] [drawCell] drew cell at Row=7, Col=5, Color=blue.
2024-12-14 20:43:42,141 [INFO] [drawCell] drew cell at Row=7, Col=6, Color=blue.
2024-12-14 20:43:42,141 [INFO] [drawCell] drew cell at Row=7, Col=7, Color=blue.
2024-12-14 20:43:42,141 [INFO] [drawCell] drew cell at Row=7, Col=8, Color=blue.
2024-12-14 20:43:42,142 [INFO] [drawCell] drew cell at Row=7, Col=9, Color=blue.
2024-12-14 20:43:42,142 [INFO] [drawCell] drew cell at Row=8, Col=0, Color=blue.
2024-12-14 20:43:42,142 [INFO] [drawCell] drew cell at Row=8, Col=1, Color=blue.
2024-12-14 20:43:42,143 [INFO] [drawCell] drew cell at Row=8, Col=2, Color=blue.
2024-12-14 20:43:42,143 [INFO] [drawCell] drew cell at Row=8, Col=3, Color=blue.
2024-12-14 20:43:42,143 [INFO] [drawCell] drew cell at Row=8, Col=4, Color=blue.
2024-12-14 20:43:42,144 [INFO] [drawCell] drew cell at Row=8, Col=5, Color=blue.
2024-12-14 20:43:42,144 [INFO] [drawCell] drew cell at Row=8, Col=6, Color=blue.
2024-12-14 20:43:42,144 [INFO] [drawCell] drew cell at Row=8, Col=7, Color=blue.
2024-12-14 20:43:42,144 [INFO] [drawCell] drew cell at Row=8, Col=8, Color=blue.
2024-12-14 20:43:42,145 [INFO] [drawCell] drew cell at Row=8, Col=9, Color=blue.
2024-12-14 20:43:42,145 [INFO] [drawCell] drew cell at Row=9, Col=0, Color=blue.
2024-12-14 20:43:42,146 [INFO] [drawCell] drew cell at Row=9, Col=1, Color=blue.
2024-12-14 20:43:42,147 [INFO] [drawCell] drew cell at Row=9, Col=2, Color=blue.
2024-12-14 20:43:42,147 [INFO] [drawCell] drew cell at Row=9, Col=3, Color=blue.
2024-12-14 20:43:42,147 [INFO] [drawCell] drew cell at Row=9, Col=4, Color=blue.
2024-12-14 20:43:42,147 [INFO] [drawCell] drew cell at Row=9, Col=5, Color=blue.
2024-12-14 20:43:42,148 [INFO] [drawCell] drew cell at Row=9, Col=6, Color=blue.
2024-12-14 20:43:42,148 [INFO] [drawCell] drew cell at Row=9, Col=7, Color=blue.
2024-12-14 20:43:42,149 [INFO] [drawCell] drew cell at Row=9, Col=8, Color=blue.
2024-12-14 20:43:42,149 [INFO] [drawCell] drew cell at Row=9, Col=9, Color=blue.
2024-12-14 20:43:42,150 [INFO] [drawCell] drew cell at Row=10, Col=0, Color=blue.
2024-12-14 20:43:42,150 [INFO] [drawCell] drew cell at Row=10, Col=1, Color=blue.
2024-12-14 20:43:42,150 [INFO] [drawCell] drew cell at Row=10, Col=2, Color=blue.
2024-12-14 20:43:42,151 [INFO] [drawCell] drew cell at Row=10, Col=3, Color=blue.
2024-12-14 20:43:42,151 [INFO] [drawCell] drew cell at Row=10, Col=4, Color=blue.
2024-12-14 20:43:42,151 [INFO] [drawCell] drew cell at Row=10, Col=5, Color=blue.
2024-12-14 20:43:42,152 [INFO] [drawCell] drew cell at Row=10, Col=6, Color=blue.
2024-12-14 20:43:42,152 [INFO] [drawCell] drew cell at Row=10, Col=7, Color=blue.
2024-12-14 20:43:42,153 [INFO] [drawCell] drew cell at Row=10, Col=8, Color=blue.
2024-12-14 20:43:42,153 [INFO] [drawCell] drew cell at Row=10, Col=9, Color=blue.
2024-12-14 20:43:42,154 [INFO] [drawCell] drew cell at Row=11, Col=0, Color=blue.
2024-12-14 20:43:42,155 [INFO] [drawCell] drew cell at Row=11, Col=1, Color=blue.
2024-12-14 20:43:42,158 [INFO] [drawCell] drew cell at Row=11, Col=2, Color=blue.
2024-12-14 20:43:42,158 [INFO] [drawCell] drew cell at Row=11, Col=3, Color=blue.
2024-12-14 20:43:42,158 [INFO] [drawCell] drew cell at Row=11, Col=4, Color=blue.
2024-12-14 20:43:42,158 [INFO] [drawCell] drew cell at Row=11, Col=5, Color=blue.
2024-12-14 20:43:42,158 [INFO] [drawCell] drew cell at Row=11, Col=6, Color=blue.
2024-12-14 20:43:42,158 [INFO] [drawCell] drew cell at Row=11, Col=7, Color=blue.
2024-12-14 20:43:42,159 [INFO] [drawCell] drew cell at Row=11, Col=8, Color=blue.
2024-12-14 20:43:42,159 [INFO] [drawCell] drew cell at Row=11, Col=9, Color=blue.
2024-12-14 20:43:42,159 [INFO] [drawCell] drew cell at Row=12, Col=0, Color=blue.
2024-12-14 20:43:42,159 [INFO] [drawCell] drew cell at Row=12, Col=1, Color=blue.
2024-12-14 20:43:42,160 [INFO] [drawCell] drew cell at Row=12, Col=2, Color=blue.
2024-12-14 20:43:42,160 [INFO] [drawCell] drew cell at Row=12, Col=3, Color=blue.
2024-12-14 20:43:42,160 [INFO] [drawCell] drew cell at Row=12, Col=4, Color=blue.
2024-12-14 20:43:42,161 [INFO] [drawCell] drew cell at Row=12, Col=5, Color=blue.
2024-12-14 20:43:42,161 [INFO] [drawCell] drew cell at Row=12, Col=6, Color=blue.
2024-12-14 20:43:42,162 [INFO] [drawCell] drew cell at Row=12, Col=7, Color=blue.
2024-12-14 20:43:42,162 [INFO] [drawCell] drew cell at Row=12, Col=8, Color=blue.
2024-12-14 20:43:42,163 [INFO] [drawCell] drew cell at Row=12, Col=9, Color=blue.
2024-12-14 20:43:42,163 [INFO] [drawCell] drew cell at Row=13, Col=0, Color=blue.
2024-12-14 20:43:42,163 [INFO] [drawCell] drew cell at Row=13, Col=1, Color=blue.
2024-12-14 20:43:42,163 [INFO] [drawCell] drew cell at Row=13, Col=2, Color=blue.
